method,method_label,seed_per_class,generated_total,synthetic_count,train_size,model,accuracy,seed_only_accuracy,improvement_pct
seed_only,Seed Only (No Synthetic),3,0,0,57,1D-CNN,0.2593984962406015,0.2593984962406015,0.0
seed_only,Seed Only (No Synthetic),3,0,0,57,GRU,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),3,0,0,57,LSTM,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),3,0,0,57,CNN-GRU,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),3,0,0,57,RandomForest,0.7669172932330827,0.7669172932330827,0.0
seed_only,Seed Only (No Synthetic),4,0,0,76,1D-CNN,0.2857142857142857,0.2857142857142857,0.0
seed_only,Seed Only (No Synthetic),4,0,0,76,GRU,0.0714285714285714,0.0714285714285714,0.0
seed_only,Seed Only (No Synthetic),4,0,0,76,LSTM,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),4,0,0,76,CNN-GRU,0.1015037593984962,0.1015037593984962,0.0
seed_only,Seed Only (No Synthetic),4,0,0,76,RandomForest,0.8609022556390977,0.8609022556390977,0.0
seed_only,Seed Only (No Synthetic),5,0,0,95,1D-CNN,0.3458646616541353,0.3458646616541353,0.0
seed_only,Seed Only (No Synthetic),5,0,0,95,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),5,0,0,95,LSTM,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),5,0,0,95,CNN-GRU,0.1278195488721804,0.1278195488721804,0.0
seed_only,Seed Only (No Synthetic),5,0,0,95,RandomForest,0.8646616541353384,0.8646616541353384,0.0
seed_only,Seed Only (No Synthetic),6,0,0,114,1D-CNN,0.4360902255639097,0.4360902255639097,0.0
seed_only,Seed Only (No Synthetic),6,0,0,114,GRU,0.1616541353383458,0.1616541353383458,0.0
seed_only,Seed Only (No Synthetic),6,0,0,114,LSTM,0.0526315789473684,0.0526315789473684,0.0
seed_only,Seed Only (No Synthetic),6,0,0,114,CNN-GRU,0.1353383458646616,0.1353383458646616,0.0
seed_only,Seed Only (No Synthetic),6,0,0,114,RandomForest,0.8872180451127819,0.8872180451127819,0.0
seed_only,Seed Only (No Synthetic),7,0,0,133,1D-CNN,0.4924812030075188,0.4924812030075188,0.0
seed_only,Seed Only (No Synthetic),7,0,0,133,GRU,0.1428571428571428,0.1428571428571428,0.0
seed_only,Seed Only (No Synthetic),7,0,0,133,LSTM,0.1015037593984962,0.1015037593984962,0.0
seed_only,Seed Only (No Synthetic),7,0,0,133,CNN-GRU,0.1654135338345864,0.1654135338345864,0.0
seed_only,Seed Only (No Synthetic),7,0,0,133,RandomForest,0.924812030075188,0.924812030075188,0.0
seed_only,Seed Only (No Synthetic),8,0,0,152,1D-CNN,0.4661654135338345,0.4661654135338345,0.0
seed_only,Seed Only (No Synthetic),8,0,0,152,GRU,0.1090225563909774,0.1090225563909774,0.0
seed_only,Seed Only (No Synthetic),8,0,0,152,LSTM,0.1353383458646616,0.1353383458646616,0.0
seed_only,Seed Only (No Synthetic),8,0,0,152,CNN-GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),8,0,0,152,RandomForest,0.8984962406015038,0.8984962406015038,0.0
seed_only,Seed Only (No Synthetic),9,0,0,171,1D-CNN,0.6654135338345865,0.6654135338345865,0.0
seed_only,Seed Only (No Synthetic),9,0,0,171,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),9,0,0,171,LSTM,0.1353383458646616,0.1353383458646616,0.0
seed_only,Seed Only (No Synthetic),9,0,0,171,CNN-GRU,0.1541353383458646,0.1541353383458646,0.0
seed_only,Seed Only (No Synthetic),9,0,0,171,RandomForest,0.943609022556391,0.943609022556391,0.0
seed_only,Seed Only (No Synthetic),10,0,0,190,1D-CNN,0.6278195488721805,0.6278195488721805,0.0
seed_only,Seed Only (No Synthetic),10,0,0,190,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),10,0,0,190,LSTM,0.1353383458646616,0.1353383458646616,0.0
seed_only,Seed Only (No Synthetic),10,0,0,190,CNN-GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),10,0,0,190,RandomForest,0.9172932330827068,0.9172932330827068,0.0
seed_only,Seed Only (No Synthetic),11,0,0,209,1D-CNN,0.6729323308270677,0.6729323308270677,0.0
seed_only,Seed Only (No Synthetic),11,0,0,209,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),11,0,0,209,LSTM,0.150375939849624,0.150375939849624,0.0
seed_only,Seed Only (No Synthetic),11,0,0,209,CNN-GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),11,0,0,209,RandomForest,0.9172932330827068,0.9172932330827068,0.0
seed_only,Seed Only (No Synthetic),12,0,0,228,1D-CNN,0.7330827067669173,0.7330827067669173,0.0
seed_only,Seed Only (No Synthetic),12,0,0,228,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),12,0,0,228,LSTM,0.1165413533834586,0.1165413533834586,0.0
seed_only,Seed Only (No Synthetic),12,0,0,228,CNN-GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),12,0,0,228,RandomForest,0.9699248120300752,0.9699248120300752,0.0
seed_only,Seed Only (No Synthetic),13,0,0,247,1D-CNN,0.7406015037593985,0.7406015037593985,0.0
seed_only,Seed Only (No Synthetic),13,0,0,247,GRU,0.1165413533834586,0.1165413533834586,0.0
seed_only,Seed Only (No Synthetic),13,0,0,247,LSTM,0.1165413533834586,0.1165413533834586,0.0
seed_only,Seed Only (No Synthetic),13,0,0,247,CNN-GRU,0.1353383458646616,0.1353383458646616,0.0
seed_only,Seed Only (No Synthetic),13,0,0,247,RandomForest,0.9285714285714286,0.9285714285714286,0.0
seed_only,Seed Only (No Synthetic),14,0,0,266,1D-CNN,0.7706766917293233,0.7706766917293233,0.0
seed_only,Seed Only (No Synthetic),14,0,0,266,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),14,0,0,266,LSTM,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),14,0,0,266,CNN-GRU,0.1353383458646616,0.1353383458646616,0.0
seed_only,Seed Only (No Synthetic),14,0,0,266,RandomForest,0.9774436090225564,0.9774436090225564,0.0
seed_only,Seed Only (No Synthetic),15,0,0,285,1D-CNN,0.8195488721804511,0.8195488721804511,0.0
seed_only,Seed Only (No Synthetic),15,0,0,285,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),15,0,0,285,LSTM,0.1578947368421052,0.1578947368421052,0.0
seed_only,Seed Only (No Synthetic),15,0,0,285,CNN-GRU,0.1466165413533834,0.1466165413533834,0.0
seed_only,Seed Only (No Synthetic),15,0,0,285,RandomForest,0.9323308270676692,0.9323308270676692,0.0
seed_only,Seed Only (No Synthetic),16,0,0,304,1D-CNN,0.8308270676691729,0.8308270676691729,0.0
seed_only,Seed Only (No Synthetic),16,0,0,304,GRU,0.1052631578947368,0.1052631578947368,0.0
seed_only,Seed Only (No Synthetic),16,0,0,304,LSTM,0.0601503759398496,0.0601503759398496,0.0
seed_only,Seed Only (No Synthetic),16,0,0,304,CNN-GRU,0.1428571428571428,0.1428571428571428,0.0
seed_only,Seed Only (No Synthetic),16,0,0,304,RandomForest,0.9323308270676692,0.9323308270676692,0.0
seed_only,Seed Only (No Synthetic),17,0,0,323,1D-CNN,0.7293233082706767,0.7293233082706767,0.0
seed_only,Seed Only (No Synthetic),17,0,0,323,GRU,0.1090225563909774,0.1090225563909774,0.0
seed_only,Seed Only (No Synthetic),17,0,0,323,LSTM,0.0977443609022556,0.0977443609022556,0.0
seed_only,Seed Only (No Synthetic),17,0,0,323,CNN-GRU,0.1278195488721804,0.1278195488721804,0.0
seed_only,Seed Only (No Synthetic),17,0,0,323,RandomForest,0.9511278195488722,0.9511278195488722,0.0
seed_only,Seed Only (No Synthetic),18,0,0,342,1D-CNN,0.8609022556390977,0.8609022556390977,0.0
seed_only,Seed Only (No Synthetic),18,0,0,342,GRU,0.1165413533834586,0.1165413533834586,0.0
seed_only,Seed Only (No Synthetic),18,0,0,342,LSTM,0.1578947368421052,0.1578947368421052,0.0
seed_only,Seed Only (No Synthetic),18,0,0,342,CNN-GRU,0.1954887218045112,0.1954887218045112,0.0
seed_only,Seed Only (No Synthetic),18,0,0,342,RandomForest,0.9661654135338346,0.9661654135338346,0.0
seed_only,Seed Only (No Synthetic),19,0,0,361,1D-CNN,0.793233082706767,0.793233082706767,0.0
seed_only,Seed Only (No Synthetic),19,0,0,361,GRU,0.1240601503759398,0.1240601503759398,0.0
seed_only,Seed Only (No Synthetic),19,0,0,361,LSTM,0.1466165413533834,0.1466165413533834,0.0
seed_only,Seed Only (No Synthetic),19,0,0,361,CNN-GRU,0.2631578947368421,0.2631578947368421,0.0
seed_only,Seed Only (No Synthetic),19,0,0,361,RandomForest,0.9661654135338346,0.9661654135338346,0.0
seed_only,Seed Only (No Synthetic),20,0,0,380,1D-CNN,0.8533834586466166,0.8533834586466166,0.0
seed_only,Seed Only (No Synthetic),20,0,0,380,GRU,0.1390977443609022,0.1390977443609022,0.0
seed_only,Seed Only (No Synthetic),20,0,0,380,LSTM,0.1428571428571428,0.1428571428571428,0.0
seed_only,Seed Only (No Synthetic),20,0,0,380,CNN-GRU,0.3082706766917293,0.3082706766917293,0.0
seed_only,Seed Only (No Synthetic),20,0,0,380,RandomForest,0.9511278195488722,0.9511278195488722,0.0
dba,DBA (DTW Barycentric Averaging),3,190,190,247,1D-CNN,0.6390977443609023,0.2593984962406015,146.3768115942029
dba,DBA (DTW Barycentric Averaging),3,190,190,247,GRU,0.10902255639097744,0.0526315789473684,107.14285714285722
dba,DBA (DTW Barycentric Averaging),3,190,190,247,LSTM,0.10526315789473684,0.0526315789473684,100.00000000000009
dba,DBA (DTW Barycentric Averaging),3,190,190,247,CNN-GRU,0.15789473684210525,0.0526315789473684,200.00000000000014
dba,DBA (DTW Barycentric Averaging),3,190,190,247,RandomForest,0.793233082706767,0.7669172932330827,3.4313725490196187
dba,DBA (DTW Barycentric Averaging),4,190,190,266,1D-CNN,0.6804511278195489,0.2857142857142857,138.15789473684214
dba,DBA (DTW Barycentric Averaging),4,190,190,266,GRU,0.10526315789473684,0.0714285714285714,47.36842105263164
dba,DBA (DTW Barycentric Averaging),4,190,190,266,LSTM,0.10526315789473684,0.0526315789473684,100.00000000000009
dba,DBA (DTW Barycentric Averaging),4,190,190,266,CNN-GRU,0.14285714285714285,0.1015037593984962,40.7407407407408
dba,DBA (DTW Barycentric Averaging),4,190,190,266,RandomForest,0.8157894736842105,0.8609022556390977,-5.240174672489083
dba,DBA (DTW Barycentric Averaging),5,190,190,285,1D-CNN,0.7593984962406015,0.3458646616541353,119.56521739130437
dba,DBA (DTW Barycentric Averaging),5,190,190,285,GRU,0.10902255639097744,0.1052631578947368,3.571428571428612
dba,DBA (DTW Barycentric Averaging),5,190,190,285,LSTM,0.09398496240601503,0.0526315789473684,78.57142857142864
dba,DBA (DTW Barycentric Averaging),5,190,190,285,CNN-GRU,0.16165413533834586,0.1278195488721804,26.470588235294173
dba,DBA (DTW Barycentric Averaging),5,190,190,285,RandomForest,0.8458646616541353,0.8646616541353384,-2.173913043478264
dba,DBA (DTW Barycentric Averaging),6,190,190,304,1D-CNN,0.7857142857142857,0.4360902255639097,80.17241379310349
dba,DBA (DTW Barycentric Averaging),6,190,190,304,GRU,0.10526315789473684,0.1616541353383458,-34.883720930232535
dba,DBA (DTW Barycentric Averaging),6,190,190,304,LSTM,0.10526315789473684,0.0526315789473684,100.00000000000009
dba,DBA (DTW Barycentric Averaging),6,190,190,304,CNN-GRU,0.2669172932330827,0.1353383458646616,97.22222222222231
dba,DBA (DTW Barycentric Averaging),6,190,190,304,RandomForest,0.8571428571428571,0.8872180451127819,-3.389830508474576
dba,DBA (DTW Barycentric Averaging),7,190,190,323,1D-CNN,0.7330827067669173,0.4924812030075188,48.85496183206108
dba,DBA (DTW Barycentric Averaging),7,190,190,323,GRU,0.12030075187969924,0.1428571428571428,-15.789473684210495
dba,DBA (DTW Barycentric Averaging),7,190,190,323,LSTM,0.10526315789473684,0.1015037593984962,3.7037037037037464
dba,DBA (DTW Barycentric Averaging),7,190,190,323,CNN-GRU,0.15789473684210525,0.1654135338345864,-4.545454545454514
dba,DBA (DTW Barycentric Averaging),7,190,190,323,RandomForest,0.8909774436090225,0.924812030075188,-3.658536585365856
dba,DBA (DTW Barycentric Averaging),8,190,190,342,1D-CNN,0.7894736842105263,0.4661654135338345,69.35483870967745
dba,DBA (DTW Barycentric Averaging),8,190,190,342,GRU,0.15789473684210525,0.1090225563909774,44.827586206896605
dba,DBA (DTW Barycentric Averaging),8,190,190,342,LSTM,0.10526315789473684,0.1353383458646616,-22.22222222222219
dba,DBA (DTW Barycentric Averaging),8,190,190,342,CNN-GRU,0.22932330827067668,0.1052631578947368,117.85714285714295
dba,DBA (DTW Barycentric Averaging),8,190,190,342,RandomForest,0.8721804511278195,0.8984962406015038,-2.9288702928870385
dba,DBA (DTW Barycentric Averaging),9,190,190,361,1D-CNN,0.793233082706767,0.6654135338345865,19.209039548022606
dba,DBA (DTW Barycentric Averaging),9,190,190,361,GRU,0.15413533834586465,0.1052631578947368,46.42857142857149
dba,DBA (DTW Barycentric Averaging),9,190,190,361,LSTM,0.06766917293233082,0.1353383458646616,-49.99999999999998
dba,DBA (DTW Barycentric Averaging),9,190,190,361,CNN-GRU,0.31954887218045114,0.1541353383458646,107.3170731707318
dba,DBA (DTW Barycentric Averaging),9,190,190,361,RandomForest,0.8947368421052632,0.943609022556391,-5.179282868525899
dba,DBA (DTW Barycentric Averaging),10,190,190,380,1D-CNN,0.8195488721804511,0.6278195488721805,30.538922155688613
dba,DBA (DTW Barycentric Averaging),10,190,190,380,GRU,0.16165413533834586,0.1052631578947368,53.57142857142863
dba,DBA (DTW Barycentric Averaging),10,190,190,380,LSTM,0.08646616541353383,0.1353383458646616,-36.111111111111086
dba,DBA (DTW Barycentric Averaging),10,190,190,380,CNN-GRU,0.23308270676691728,0.1052631578947368,121.42857142857153
dba,DBA (DTW Barycentric Averaging),10,190,190,380,RandomForest,0.8909774436090225,0.9172932330827068,-2.868852459016402
dba,DBA (DTW Barycentric Averaging),11,190,190,399,1D-CNN,0.8120300751879699,0.6729323308270677,20.6703910614525
dba,DBA (DTW Barycentric Averaging),11,190,190,399,GRU,0.13157894736842105,0.1052631578947368,25.00000000000005
dba,DBA (DTW Barycentric Averaging),11,190,190,399,LSTM,0.09774436090225563,0.150375939849624,-34.99999999999998
dba,DBA (DTW Barycentric Averaging),11,190,190,399,CNN-GRU,0.3308270676691729,0.1052631578947368,214.28571428571442
dba,DBA (DTW Barycentric Averaging),11,190,190,399,RandomForest,0.9022556390977443,0.9172932330827068,-1.6393442622950938
dba,DBA (DTW Barycentric Averaging),12,190,190,418,1D-CNN,0.8458646616541353,0.7330827067669173,15.384615384615374
dba,DBA (DTW Barycentric Averaging),12,190,190,418,GRU,0.11278195488721804,0.1052631578947368,7.142857142857186
dba,DBA (DTW Barycentric Averaging),12,190,190,418,LSTM,0.07894736842105263,0.1165413533834586,-32.25806451612901
dba,DBA (DTW Barycentric Averaging),12,190,190,418,CNN-GRU,0.22932330827067668,0.1052631578947368,117.85714285714295
dba,DBA (DTW Barycentric Averaging),12,190,190,418,RandomForest,0.8984962406015038,0.9699248120300752,-7.364341085271314
dba,DBA (DTW Barycentric Averaging),13,190,190,437,1D-CNN,0.8571428571428571,0.7406015037593985,15.736040609137051
dba,DBA (DTW Barycentric Averaging),13,190,190,437,GRU,0.11654135338345864,0.1165413533834586,3.57241118407611e-14
dba,DBA (DTW Barycentric Averaging),13,190,190,437,LSTM,0.10526315789473684,0.1165413533834586,-9.677419354838678
dba,DBA (DTW Barycentric Averaging),13,190,190,437,CNN-GRU,0.32706766917293234,0.1353383458646616,141.6666666666668
dba,DBA (DTW Barycentric Averaging),13,190,190,437,RandomForest,0.9360902255639098,0.9285714285714286,0.8097165991902774
dba,DBA (DTW Barycentric Averaging),14,190,190,456,1D-CNN,0.7706766917293233,0.7706766917293233,0.0
dba,DBA (DTW Barycentric Averaging),14,190,190,456,GRU,0.12781954887218044,0.1052631578947368,21.428571428571477
dba,DBA (DTW Barycentric Averaging),14,190,190,456,LSTM,0.10150375939849623,0.1052631578947368,-3.571428571428533
dba,DBA (DTW Barycentric Averaging),14,190,190,456,CNN-GRU,0.38721804511278196,0.1353383458646616,186.11111111111126
dba,DBA (DTW Barycentric Averaging),14,190,190,456,RandomForest,0.9323308270676691,0.9774436090225564,-4.615384615384626
dba,DBA (DTW Barycentric Averaging),15,190,190,475,1D-CNN,0.849624060150376,0.8195488721804511,3.669724770642201
dba,DBA (DTW Barycentric Averaging),15,190,190,475,GRU,0.16165413533834586,0.1052631578947368,53.57142857142863
dba,DBA (DTW Barycentric Averaging),15,190,190,475,LSTM,0.10526315789473684,0.1578947368421052,-33.33333333333331
dba,DBA (DTW Barycentric Averaging),15,190,190,475,CNN-GRU,0.3082706766917293,0.1466165413533834,110.25641025641033
dba,DBA (DTW Barycentric Averaging),15,190,190,475,RandomForest,0.9548872180451128,0.9323308270676692,2.4193548387096713
dba,DBA (DTW Barycentric Averaging),16,190,190,494,1D-CNN,0.849624060150376,0.8308270676691729,2.2624434389140307
dba,DBA (DTW Barycentric Averaging),16,190,190,494,GRU,0.16917293233082706,0.1052631578947368,60.71428571428578
dba,DBA (DTW Barycentric Averaging),16,190,190,494,LSTM,0.10902255639097744,0.0601503759398496,81.25000000000007
dba,DBA (DTW Barycentric Averaging),16,190,190,494,CNN-GRU,0.4849624060150376,0.1428571428571428,239.47368421052647
dba,DBA (DTW Barycentric Averaging),16,190,190,494,RandomForest,0.9511278195488722,0.9323308270676692,2.0161290322580556
dba,DBA (DTW Barycentric Averaging),17,190,190,513,1D-CNN,0.8571428571428571,0.7293233082706767,17.52577319587628
dba,DBA (DTW Barycentric Averaging),17,190,190,513,GRU,0.14661654135338345,0.1090225563909774,34.48275862068971
dba,DBA (DTW Barycentric Averaging),17,190,190,513,LSTM,0.10526315789473684,0.0977443609022556,7.692307692307724
dba,DBA (DTW Barycentric Averaging),17,190,190,513,CNN-GRU,0.31203007518796994,0.1278195488721804,144.11764705882365
dba,DBA (DTW Barycentric Averaging),17,190,190,513,RandomForest,0.9548872180451128,0.9511278195488722,0.39525691699605037
dba,DBA (DTW Barycentric Averaging),18,190,190,532,1D-CNN,0.7030075187969925,0.8609022556390977,-18.340611353711783
dba,DBA (DTW Barycentric Averaging),18,190,190,532,GRU,0.12406015037593984,0.1165413533834586,6.451612903225845
dba,DBA (DTW Barycentric Averaging),18,190,190,532,LSTM,0.11278195488721804,0.1578947368421052,-28.571428571428548
dba,DBA (DTW Barycentric Averaging),18,190,190,532,CNN-GRU,0.37218045112781956,0.1954887218045112,90.38461538461546
dba,DBA (DTW Barycentric Averaging),18,190,190,532,RandomForest,0.9135338345864662,0.9661654135338346,-5.4474708171206165
dba,DBA (DTW Barycentric Averaging),19,190,190,551,1D-CNN,0.8759398496240601,0.793233082706767,10.426540284360183
dba,DBA (DTW Barycentric Averaging),19,190,190,551,GRU,0.23684210526315788,0.1240601503759398,90.90909090909098
dba,DBA (DTW Barycentric Averaging),19,190,190,551,LSTM,0.10526315789473684,0.1466165413533834,-28.205128205128176
dba,DBA (DTW Barycentric Averaging),19,190,190,551,CNN-GRU,0.43609022556390975,0.2631578947368421,65.71428571428571
dba,DBA (DTW Barycentric Averaging),19,190,190,551,RandomForest,0.9624060150375939,0.9661654135338346,-0.38910505836576165
dba,DBA (DTW Barycentric Averaging),20,190,190,570,1D-CNN,0.8646616541353384,0.8533834586466166,1.321585903083697
dba,DBA (DTW Barycentric Averaging),20,190,190,570,GRU,0.2819548872180451,0.1390977443609022,102.70270270270281
dba,DBA (DTW Barycentric Averaging),20,190,190,570,LSTM,0.18045112781954886,0.1428571428571428,26.31578947368426
dba,DBA (DTW Barycentric Averaging),20,190,190,570,CNN-GRU,0.49624060150375937,0.3082706766917293,60.97560975609756
dba,DBA (DTW Barycentric Averaging),20,190,190,570,RandomForest,0.9548872180451128,0.9511278195488722,0.39525691699605037
